2023-08-23 13:29:32.694 [info] Log level: Info
2023-08-23 13:29:32.694 [info] Validating found git in: "git"
2023-08-23 13:29:32.694 [info] Using git "2.25.1" from "git"
2023-08-23 13:29:32.694 [info] > git rev-parse --show-toplevel [2ms]
2023-08-23 13:32:40.114 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:48:33.333 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:51:08.749 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:51:09.708 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:51:16.802 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:51:25.657 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:51:29.214 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:51:52.207 [info] > git rev-parse --show-toplevel [2ms]
2023-08-23 13:52:00.054 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:52:46.300 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:53:01.718 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:53:10.858 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:53:13.649 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:53:18.062 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:53:29.497 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:54:28.965 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:54:59.044 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:57:30.150 [info] > git rev-parse --show-toplevel [2ms]
2023-08-23 13:57:33.254 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:57:37.094 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:58:20.324 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 13:58:58.888 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:59:01.599 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 13:59:07.488 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:10:26.488 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:10:50.373 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:10:53.048 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:10:58.359 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:13:03.881 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:13:05.935 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:13:14.201 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:13:39.231 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:15:26.042 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:18:01.297 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:18:04.088 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:18:08.708 [info] > git rev-parse --show-toplevel [2ms]
2023-08-23 14:19:25.098 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 14:19:28.059 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:19:31.020 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 14:19:52.226 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:19:54.504 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:19:57.717 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:23:30.455 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:23:51.564 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:23:54.320 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 14:23:59.909 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:27:35.999 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 14:28:40.327 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:29:06.779 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:33:28.210 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:33:31.778 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:33:36.543 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:33:53.460 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:34:08.168 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:34:10.677 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:34:15.263 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:38:49.775 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:40:32.848 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 14:40:35.831 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 14:40:39.373 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:40:56.215 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:44:50.992 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:44:53.861 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:44:57.240 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:45:24.180 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:59:33.167 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 14:59:35.229 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:07:36.971 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 15:07:39.894 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:07:45.022 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 15:08:01.832 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:08:06.556 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:09:53.601 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:10:36.876 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:11:44.691 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:12:49.971 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:12:56.175 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 15:12:57.486 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:14:50.100 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:14:58.893 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:18:38.370 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:18:39.413 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:19:10.263 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:20:09.248 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:27:05.046 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:59:08.057 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:59:19.611 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 15:59:41.235 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:00:47.286 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:00:51.647 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:02:32.906 [info] > git rev-parse --show-toplevel [0ms]
2023-08-23 16:04:22.870 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:04:26.460 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:04:33.844 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:04:39.561 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:05:54.481 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:05:59.272 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:06:08.677 [info] > git rev-parse --show-toplevel [1ms]
2023-08-23 16:06:21.236 [info] > git rev-parse --show-toplevel [1ms]
