2023-08-15 14:07:34.519 [info] Log level: Info
2023-08-15 14:07:34.519 [info] Validating found git in: "git"
2023-08-15 14:07:34.519 [info] Using git "2.25.1" from "git"
2023-08-15 14:07:34.519 [info] > git rev-parse --show-toplevel [2ms]
2023-08-15 14:07:43.824 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:07:56.010 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:08:09.462 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:08:11.667 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:11:39.858 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:11:46.820 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:12:03.496 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:12:13.717 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:20:44.173 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:21:59.682 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:22:01.001 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:22:30.312 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:32:36.929 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:32:39.557 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:32:43.134 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:32:48.611 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:32:49.758 [info] > git rev-parse --show-toplevel [2ms]
2023-08-15 14:33:10.713 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:38:46.524 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:38:59.143 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:40:23.711 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:40:42.888 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:41:35.038 [info] > git rev-parse --show-toplevel [0ms]
2023-08-15 14:42:15.328 [info] > git rev-parse --show-toplevel [1ms]
2023-08-15 14:42:26.477 [info] > git rev-parse --show-toplevel [1ms]
