2023-08-18 16:39:01.408 [info] Log level: Info
2023-08-18 16:39:01.408 [info] Validating found git in: "git"
2023-08-18 16:39:01.408 [info] Using git "2.25.1" from "git"
2023-08-18 16:39:02.503 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 16:40:51.886 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 16:40:56.274 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 16:47:19.155 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 16:48:07.657 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 16:59:42.986 [info] > git rev-parse --show-toplevel [2ms]
2023-08-18 17:00:04.376 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 17:00:46.766 [info] > git rev-parse --show-toplevel [1ms]
2023-08-18 17:02:11.098 [info] > git rev-parse --show-toplevel [1ms]
