2023-08-14 14:26:52.871 [info] Log level: Info
2023-08-14 14:26:52.871 [info] Validating found git in: "git"
2023-08-14 14:26:52.871 [info] Using git "2.25.1" from "git"
2023-08-14 14:26:53.735 [info] > git rev-parse --show-toplevel [2ms]
2023-08-14 14:27:05.934 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:27:40.747 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:28:15.708 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:28:47.708 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:30:32.936 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:30:34.679 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:34:12.871 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:34:21.438 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:35:10.080 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:35:29.669 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:40:56.458 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:41:10.226 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:41:15.083 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:41:26.592 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:41:51.142 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:41:53.681 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:46:01.718 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:46:05.806 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:53:21.313 [info] > git rev-parse --show-toplevel [2ms]
2023-08-14 14:53:33.775 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:55:07.705 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:55:34.576 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 14:55:49.982 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:06:16.694 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:06:23.973 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:06:27.157 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:06:33.422 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:06:38.354 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:06:43.380 [info] > git rev-parse --show-toplevel [0ms]
2023-08-14 15:07:01.286 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:07:05.784 [info] > git rev-parse --show-toplevel [0ms]
2023-08-14 15:07:07.448 [info] > git rev-parse --show-toplevel [2ms]
2023-08-14 15:07:12.904 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:36.823 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:39.560 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:40.770 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:43.069 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:48.549 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:50.018 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:08:59.087 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:09:18.099 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:09:23.848 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:09:25.636 [info] > git rev-parse --show-toplevel [0ms]
2023-08-14 15:09:44.258 [info] > git rev-parse --show-toplevel [2ms]
2023-08-14 15:09:47.982 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:09:49.261 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:13:59.533 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:14:00.911 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:14:47.253 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:14:48.376 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:15:55.758 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:15:57.698 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:10.880 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:15.119 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:27.454 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:50.411 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:56.115 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:57.193 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:16:58.432 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:18:06.454 [info] > git rev-parse --show-toplevel [1ms]
2023-08-14 15:18:08.749 [info] > git rev-parse --show-toplevel [1ms]
