2023-08-17 13:57:57.840 [info] Log level: Info
2023-08-17 13:57:57.840 [info] Validating found git in: "git"
2023-08-17 13:57:57.840 [info] Using git "2.25.1" from "git"
2023-08-17 13:57:57.840 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:44:39.843 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:44:59.535 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:45:24.328 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:47:19.671 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:47:35.921 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:47:53.861 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:48:42.518 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:48:47.753 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:49:10.438 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:49:13.502 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 14:49:49.332 [info] > git rev-parse --show-toplevel [0ms]
2023-08-17 14:50:02.819 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:15:25.442 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:16:38.973 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:18:05.756 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:18:09.854 [info] > git rev-parse --show-toplevel [0ms]
2023-08-17 15:54:00.055 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:54:19.371 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:55:52.012 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:56:58.933 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 15:57:30.420 [info] > git rev-parse --show-toplevel [0ms]
2023-08-17 15:59:20.343 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:05:30.850 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:05:48.361 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:05:55.716 [info] > git rev-parse --show-toplevel [0ms]
2023-08-17 16:07:27.565 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:07:48.924 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:08:02.916 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:08:23.117 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:09:15.731 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:09:39.904 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:09:44.190 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:09:57.015 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:11:20.785 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:11:22.328 [info] > git rev-parse --show-toplevel [2ms]
2023-08-17 16:11:24.362 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:12:33.038 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:15:32.421 [info] > git rev-parse --show-toplevel [1ms]
2023-08-17 16:18:29.111 [info] > git rev-parse --show-toplevel [1ms]
