2023-08-22 14:07:16.983 [info] Log level: Info
2023-08-22 14:07:16.983 [info] Validating found git in: "git"
2023-08-22 14:07:16.983 [info] Using git "2.25.1" from "git"
2023-08-22 14:07:16.983 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:11:26.154 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:11:37.244 [info] > git rev-parse --show-toplevel [2ms]
2023-08-22 14:25:20.099 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:25:23.510 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:26:16.202 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:26:21.208 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:26:42.561 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:28:47.872 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:39:22.418 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:41:59.273 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:42:09.381 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 14:43:19.953 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:09:58.784 [info] > git rev-parse --show-toplevel [2ms]
2023-08-22 15:10:11.825 [info] > git rev-parse --show-toplevel [0ms]
2023-08-22 15:10:12.862 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:21:38.865 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:21:51.291 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:26:49.044 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:27:06.290 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:27:32.208 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:33:27.361 [info] > git rev-parse --show-toplevel [0ms]
2023-08-22 15:33:28.587 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:33:42.804 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:38:55.177 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:49:11.958 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:49:14.404 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:49:25.178 [info] > git rev-parse --show-toplevel [2ms]
2023-08-22 15:49:27.366 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:52:30.303 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 15:52:31.886 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:02:00.802 [info] > git rev-parse --show-toplevel [0ms]
2023-08-22 16:20:06.762 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:20:09.942 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:20:16.086 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:20:26.715 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:20:47.585 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:20:57.804 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:22:35.299 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:22:48.915 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:22:49.948 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:23:11.336 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:24:16.200 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:24:17.191 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:25:20.102 [info] > git rev-parse --show-toplevel [1ms]
2023-08-22 16:26:03.771 [info] > git rev-parse --show-toplevel [1ms]
