2023-08-10 14:00:25.824 [info] Log level: Info
2023-08-10 14:00:25.824 [info] Validating found git in: "git"
2023-08-10 14:00:25.824 [info] Using git "2.25.1" from "git"
2023-08-10 14:00:25.824 [info] > git rev-parse --show-toplevel [2ms]
2023-08-10 14:00:27.848 [info] > git rev-parse --show-toplevel [2ms]
2023-08-10 14:09:32.850 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 14:09:38.295 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 14:12:01.086 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 14:12:03.574 [info] > git rev-parse --show-toplevel [0ms]
2023-08-10 14:52:20.020 [info] > git rev-parse --show-toplevel [0ms]
2023-08-10 14:52:43.337 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 14:52:46.463 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 14:53:10.686 [info] > git rev-parse --show-toplevel [0ms]
2023-08-10 14:56:24.201 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 14:58:10.744 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:00:10.711 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:00:35.665 [info] > git rev-parse --show-toplevel [2ms]
2023-08-10 15:01:01.260 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:01:08.120 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:01:11.079 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:02:40.298 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:02:44.819 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:28:32.291 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:28:41.188 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:42:08.479 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:45:22.189 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:45:38.296 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:45:42.074 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:45:46.166 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:46:45.323 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:46:53.037 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:46:58.435 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:46:59.610 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:55:27.478 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:56:11.168 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:56:18.341 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:56:28.674 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:58:15.002 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:58:26.901 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:58:50.171 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:58:57.169 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:59:28.211 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 15:59:51.005 [info] > git rev-parse --show-toplevel [0ms]
2023-08-10 16:12:52.606 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 16:13:06.918 [info] > git rev-parse --show-toplevel [1ms]
2023-08-10 16:13:23.010 [info] > git rev-parse --show-toplevel [1ms]
